tag,count
"Calm",5
"Clarity",5
"tension",5
"Gratitude",4
"Overload",4
"Frustration",3
"Anxious",3
"Disconnected",3
"Sadness",2
"Anger",2
"positive",2
"negative",2
"social",2
"lonely",2
"motivation",2
"other",2
"Tension",1
"Anxiety",1
"Centered",1
"Joy",1
"Confusion",1
"energy",1
"tired",1
"body",1
"comfort",1
"relaxed",1
"hopeful",1
"content",1
"anxiety",1
"sadness",1
"connected",1
"isolated",1
"high",1
"low",1
"thoughts",1
"clear",1
"excited",1
"anticipation",1
"neutral",1
"sleep",1
"stress",1
"illness",1
"random",1
"head",1
"back",1
"stomach",1
"fullbody",1
"isolation",1
"conflict",1
"disconnected",1
"burnout",1
"goal",1
"routine",1
"rest",1
"project",1
"apathy",1
"acute",1
"short-term",1
"mid-term",1
"chronic",1
"plan",1
"no-plan",1
"need-help",1